ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,35.16,38.07,0.00,36.70
2016 Primary,17.79,18.67,0.00,18.26
2016 Primary Runoff,5.29,6.03,0.00,5.69
2016 General,59.75,66.77,0.00,63.46
2018 Primary,19.64,20.84,0.00,20.28
2018 Primary Runoff,13.35,12.33,0.00,12.81
2018 General,55.46,60.58,100.0,58.20
