ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,23.53,31.64,12.33,50.00,20.00,36.91,15.89,33.09
2016 Primary,0.00,11.44,2.63,14.29,5.13,10.83,3.75,10.38
2016 Primary Runoff,0.00,6.92,0.00,0.00,2.56,0.48,0.81,2.85
2016 General,62.50,65.10,46.51,85.71,51.06,66.97,46.95,64.44
2018 Primary,0.00,20.72,6.38,22.22,15.38,17.94,8.14,17.95
2018 Primary Runoff,5.56,9.22,1.06,25.00,3.92,17.36,4.72,12.71
2018 General,59.09,65.16,43.27,55.56,42.11,60.02,36.93,59.66
