ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,0.00,35.53,0.00,0.00,0.00,49.65,17.14,46.08
2016 Primary,0.00,10.26,0.00,0.00,0.00,23.92,2.86,21.17
2016 Primary Runoff,0.00,7.69,0.00,0.00,0.00,1.03,0.00,1.72
2016 General,0.00,69.41,40.00,0.00,0.00,77.83,50.00,74.97
2018 Primary,0.00,22.50,0.00,0.00,0.00,24.57,2.17,22.68
2018 Primary Runoff,0.00,3.80,0.00,0.00,0.00,27.21,2.22,22.77
2018 General,100.0,61.73,66.67,0.00,100.0,76.10,30.43,71.63
