AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.88,0.00,0.00,0.00,1.95,0.00,1.75
25-29,0.00,0.00,0.00,0.00,0.00,2.19,0.00,1.99
30-34,0.00,0.00,0.00,0.00,0.00,4.39,5.26,4.26
35-39,0.00,0.00,0.00,0.00,0.00,4.67,4.55,4.50
40-44,0.00,0.00,0.00,0.00,0.00,7.27,7.69,6.96
45-49,0.00,4.00,0.00,0.00,0.00,10.32,8.00,9.91
50-54,16.67,0.00,0.00,0.00,33.33,12.95,0.00,12.29
55-59,0.00,0.00,0.00,0.00,33.33,14.82,0.00,14.34
60-64,0.00,5.88,0.00,0.00,50.00,22.19,13.64,21.37
65-OVER,0.00,15.38,0.00,0.00,0.00,28.68,17.65,28.01
TOTAL,1.75,4.86,0.00,0.00,14.81,13.64,5.08,12.97
