AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.98,0.00,0.00,33.33,3.98,0.88,3.33
25-29,0.00,0.00,0.00,0.00,0.00,3.43,4.17,3.00
30-34,0.00,0.00,0.00,0.00,0.00,6.62,1.35,5.48
35-39,0.00,0.00,0.00,0.00,0.00,6.37,3.49,5.54
40-44,0.00,1.92,0.00,0.00,0.00,7.84,0.00,6.85
45-49,0.00,1.32,0.00,0.00,0.00,9.83,3.17,8.55
50-54,0.00,3.26,0.00,0.00,0.00,12.27,1.67,10.67
55-59,0.00,7.06,0.00,0.00,0.00,18.26,3.51,16.13
60-64,0.00,4.94,0.00,0.00,0.00,25.98,3.12,23.07
65-OVER,0.00,8.22,0.00,0.00,0.00,34.38,20.29,31.49
TOTAL,0.00,3.64,0.00,0.00,4.55,16.53,3.99,14.39
