AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.73,0.00,0.00,0.00,3.35,0.00,2.10
25-29,0.00,0.40,0.00,0.00,0.00,0.82,13.79,1.33
30-34,0.00,3.23,0.00,0.00,0.00,0.53,0.00,1.82
35-39,0.00,3.93,0.00,0.00,0.00,3.49,4.76,3.71
40-44,0.00,5.29,0.00,0.00,0.00,5.91,0.00,5.26
45-49,0.00,7.11,0.00,0.00,0.00,3.62,4.17,5.10
50-54,0.00,6.57,0.00,0.00,0.00,5.97,3.23,6.06
55-59,0.00,14.38,0.00,0.00,33.33,8.53,10.00,11.14
60-64,0.00,13.10,0.00,0.00,0.00,15.72,14.29,14.59
65-OVER,0.00,14.29,0.00,0.00,0.00,19.58,4.00,17.36
TOTAL,0.00,7.72,0.00,0.00,5.26,9.72,4.98,8.57
