AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,16.67,0.00,0.00,0.00,0.00,2.18,0.00,1.97
25-29,0.00,0.00,0.00,0.00,0.00,1.85,2.33,1.83
30-34,0.00,0.00,0.00,0.00,14.29,1.88,0.00,1.83
35-39,0.00,0.00,7.14,0.00,0.00,4.56,4.17,4.47
40-44,0.00,0.00,0.00,0.00,0.00,6.50,0.00,6.19
45-49,0.00,0.00,0.00,0.00,14.29,8.43,0.00,8.10
50-54,0.00,0.00,0.00,0.00,40.00,11.31,5.45,10.97
55-59,0.00,13.33,0.00,0.00,0.00,14.66,2.63,14.19
60-64,33.33,0.00,0.00,0.00,0.00,19.99,6.90,19.53
65-OVER,0.00,10.34,20.00,0.00,0.00,29.95,21.62,29.58
TOTAL,3.57,3.33,3.73,0.00,7.27,14.61,4.62,14.07
