AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.46,0.00,0.00,1.40,3.57,1.31
25-29,0.00,0.00,0.00,0.00,0.00,1.11,3.23,1.01
30-34,0.00,1.27,0.00,0.00,0.00,2.96,3.45,2.68
35-39,0.00,3.53,0.00,0.00,0.00,4.74,3.12,4.35
40-44,5.00,1.82,1.09,0.00,0.00,6.73,0.00,6.22
45-49,5.00,2.40,0.95,0.00,0.00,7.06,0.00,6.50
50-54,0.00,4.42,1.49,0.00,0.00,8.89,0.00,8.36
55-59,0.00,1.06,0.00,0.00,0.00,11.29,3.85,10.53
60-64,0.00,11.54,2.86,0.00,50.00,16.51,0.00,15.93
65-OVER,6.25,14.53,0.00,0.00,0.00,22.45,3.85,21.80
TOTAL,1.97,4.45,0.49,0.00,0.98,9.97,2.56,9.24
