AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.09,0.00,0.00,0.00,3.06,0.00,1.47
25-29,0.00,1.60,0.00,0.00,0.00,3.45,5.88,2.47
30-34,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.34
35-39,0.00,1.74,0.00,0.00,0.00,1.08,0.00,1.46
40-44,0.00,2.20,0.00,0.00,0.00,4.76,0.00,3.08
45-49,0.00,2.24,0.00,0.00,0.00,3.50,0.00,2.66
50-54,0.00,6.71,0.00,0.00,100.0,4.44,0.00,5.89
55-59,0.00,6.16,0.00,0.00,0.00,11.21,11.11,8.38
60-64,0.00,6.02,0.00,0.00,0.00,15.09,60.00,10.54
65-OVER,0.00,10.81,0.00,0.00,0.00,19.11,0.00,14.85
TOTAL,0.00,4.93,0.00,0.00,8.33,10.30,4.27,7.05
