AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.53,1.99,0.60,2.27,1.74,4.20,1.53,2.23
25-29,0.58,1.57,1.01,0.00,1.07,2.21,1.40,1.68
30-34,1.08,2.64,1.54,0.00,1.16,3.74,2.06,2.85
35-39,2.76,4.53,1.42,0.00,4.05,6.23,2.99,4.85
40-44,3.49,7.34,2.85,0.00,3.82,9.32,3.62,7.53
45-49,4.50,10.47,5.10,4.00,6.00,13.42,3.98,10.80
50-54,3.46,13.46,5.93,4.00,7.17,16.94,5.87,13.84
55-59,2.68,17.13,3.99,11.76,8.03,22.04,6.79,17.88
60-64,4.18,23.18,6.77,4.76,12.89,27.65,10.08,23.72
65-OVER,4.57,25.47,6.36,6.06,9.04,35.49,12.40,29.24
TOTAL,2.71,10.33,2.88,2.47,4.26,17.05,4.20,11.81
