RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,9.36,8.75,9.09,9.05
OTHER,4.76,2.90,0.00,3.90
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,3.82,7.69,0.00,5.75
ASIA-PI,2.61,5.52,0.00,4.19
WHITE,23.46,18.47,0.00,20.83
BLACK,4.04,4.00,0.00,4.01
TOTAL,21.07,16.82,5.00,18.82
