AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.57,0.00,0.00,0.00,3.18,1.23,2.78
25-29,0.00,0.00,0.00,0.00,0.00,2.52,1.01,2.07
30-34,0.00,4.23,0.00,0.00,0.00,3.66,5.17,3.78
35-39,0.00,1.35,0.00,0.00,0.00,5.54,5.08,5.14
40-44,0.00,1.98,0.00,0.00,0.00,8.24,4.84,7.37
45-49,0.00,3.48,16.67,0.00,0.00,12.55,3.61,11.03
50-54,0.00,8.00,33.33,0.00,0.00,15.24,13.46,14.40
55-59,0.00,3.64,0.00,0.00,20.00,22.39,25.49,20.46
60-64,66.67,12.50,0.00,0.00,50.00,25.76,23.08,24.36
65-OVER,0.00,11.16,33.33,100.0,16.67,35.65,26.23,32.50
TOTAL,7.69,5.69,7.69,25.00,6.98,16.21,9.15,14.65
