AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,1.56,1.49,0.92
25-29,0.00,0.48,0.00,0.00,0.00,1.76,0.00,1.20
30-34,0.00,1.07,0.00,0.00,0.00,0.65,0.00,0.75
35-39,0.00,0.64,0.00,0.00,0.00,2.72,0.00,1.89
40-44,0.00,0.59,0.00,0.00,0.00,2.12,0.00,1.58
45-49,0.00,1.61,0.00,0.00,0.00,3.52,0.00,2.75
50-54,0.00,2.99,0.00,0.00,0.00,5.29,0.00,4.38
55-59,0.00,4.61,0.00,0.00,0.00,7.53,0.00,6.47
60-64,0.00,3.75,0.00,0.00,0.00,11.67,0.00,9.34
65-OVER,0.00,8.54,0.00,0.00,0.00,14.68,0.00,12.96
TOTAL,0.00,2.88,0.00,0.00,0.00,7.24,0.21,5.64
