AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,4.57,0.00,3.04
25-29,0.00,0.00,0.00,0.00,0.00,2.96,0.00,2.11
30-34,0.00,1.35,0.00,0.00,0.00,6.11,0.00,4.80
35-39,0.00,0.74,0.00,0.00,0.00,7.98,0.00,6.17
40-44,0.00,1.82,0.00,0.00,0.00,7.84,0.00,6.71
45-49,0.00,3.08,11.11,0.00,0.00,12.81,0.00,10.80
50-54,0.00,2.86,0.00,0.00,0.00,16.99,15.00,14.06
55-59,0.00,6.82,50.00,0.00,0.00,20.76,5.26,17.41
60-64,0.00,3.53,14.29,0.00,0.00,25.87,0.00,20.39
65-OVER,33.33,6.88,0.00,0.00,0.00,36.54,5.56,30.48
TOTAL,8.33,3.21,7.02,0.00,0.00,17.78,2.43,14.30
