AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,1.88,0.00,1.69
25-29,0.00,0.00,0.00,0.00,0.00,2.08,0.00,1.93
30-34,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.54
35-39,0.00,0.00,0.00,0.00,0.00,4.06,7.14,4.05
40-44,0.00,0.00,0.00,0.00,0.00,4.32,9.38,4.42
45-49,0.00,0.00,0.00,0.00,0.00,6.12,12.50,6.06
50-54,0.00,0.00,0.00,0.00,0.00,11.46,11.54,11.20
55-59,0.00,0.00,0.00,0.00,0.00,11.70,9.38,11.38
60-64,0.00,0.00,0.00,0.00,0.00,19.80,12.50,19.40
65-OVER,0.00,12.50,0.00,0.00,0.00,27.99,25.00,27.80
TOTAL,0.00,2.04,0.00,0.00,0.00,14.95,12.07,14.56
