CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,35.0,3325.0,3063.0,1.0,363.0,270.0,0.0,32.0,21.0,1.0,553.0,469.0,0.0,324.0,219.0,18.0,49731.0,45441.0,2.0,18461.0,9857.0,132186.0
Congressional District 2,7.0,1382.0,1153.0,1.0,212.0,182.0,0.0,12.0,15.0,2.0,351.0,230.0,0.0,184.0,106.0,2.0,33308.0,30891.0,4.0,32874.0,16932.0,117848.0
Congressional District 3,16.0,4903.0,4331.0,3.0,487.0,368.0,0.0,11.0,16.0,0.0,802.0,651.0,2.0,363.0,225.0,35.0,66781.0,60067.0,8.0,17107.0,9270.0,165446.0
Congressional District 4,33.0,4449.0,3232.0,3.0,924.0,616.0,0.0,33.0,27.0,3.0,965.0,671.0,2.0,693.0,613.0,13.0,31167.0,26430.0,20.0,50797.0,26532.0,147223.0
Congressional District 5,48.0,7660.0,6210.0,0.0,857.0,655.0,0.0,18.0,19.0,1.0,921.0,819.0,2.0,717.0,618.0,28.0,28958.0,27654.0,17.0,45558.0,23986.0,144746.0
Congressional District 6,45.0,6738.0,5952.0,2.0,1216.0,1060.0,0.0,40.0,30.0,6.0,1933.0,1385.0,7.0,1854.0,1780.0,38.0,74000.0,65327.0,3.0,9118.0,5227.0,175761.0
Congressional District 7,132.0,6478.0,5641.0,6.0,1111.0,923.0,1.0,42.0,52.0,11.0,2873.0,1951.0,5.0,1540.0,1588.0,68.0,51822.0,46679.0,33.0,13334.0,7345.0,141635.0
Congressional District 8,10.0,1865.0,1714.0,2.0,256.0,210.0,0.0,23.0,16.0,1.0,462.0,333.0,0.0,293.0,210.0,12.0,51813.0,48280.0,1.0,17189.0,8974.0,131664.0
Congressional District 9,28.0,4015.0,3974.0,0.0,249.0,208.0,0.0,27.0,34.0,6.0,963.0,678.0,0.0,208.0,144.0,40.0,76391.0,71081.0,1.0,3527.0,1947.0,163521.0
Congressional District 10,47.0,5232.0,4693.0,1.0,477.0,407.0,0.0,29.0,22.0,4.0,896.0,645.0,1.0,435.0,306.0,49.0,66041.0,60412.0,9.0,17850.0,9375.0,166931.0
Congressional District 11,44.0,4876.0,4487.0,2.0,904.0,691.0,0.0,48.0,48.0,2.0,1855.0,1402.0,1.0,754.0,594.0,35.0,74690.0,67005.0,13.0,11627.0,6326.0,175404.0
Congressional District 12,24.0,2933.0,2523.0,1.0,344.0,213.0,0.0,26.0,28.0,1.0,548.0,397.0,0.0,366.0,297.0,25.0,47257.0,43088.0,14.0,20545.0,11458.0,130088.0
Congressional District 13,23.0,4801.0,3202.0,1.0,860.0,576.0,0.0,23.0,15.0,2.0,1326.0,899.0,2.0,429.0,324.0,7.0,28655.0,25135.0,20.0,48328.0,25355.0,139983.0
Congressional District 14,10.0,3480.0,3204.0,0.0,198.0,174.0,0.0,17.0,11.0,2.0,952.0,721.0,0.0,153.0,122.0,16.0,58406.0,55025.0,2.0,4545.0,2478.0,129516.0
TOTAL,502.0,62137.0,53379.0,23.0,8458.0,6553.0,1.0,381.0,354.0,42.0,15400.0,11251.0,22.0,8313.0,7146.0,386.0,739020.0,672515.0,147.0,310860.0,165062.0,2061952.0
