CONGRESSIONAL DISTRICT,MALE,FEMALE,UNKNOWN,TOTAL
District 1,29.99,30.21,23.95,30.11
District 2,27.58,29.55,13.33,28.69
District 3,35.11,35.93,24.33,35.55
District 4,28.30,33.87,28.03,31.43
District 5,25.18,30.55,21.52,28.06
District 6,35.77,37.28,24.05,36.56
District 7,31.66,33.03,27.56,32.39
District 8,32.21,31.87,14.44,32.02
District 9,39.37,38.41,32.75,38.86
District 10,36.30,37.45,32.46,36.91
District 11,36.05,36.87,25.13,36.48
District 12,30.55,31.11,20.70,30.85
District 13,27.74,32.46,16.27,30.40
District 14,33.93,32.41,24.79,33.11
TOTAL,32.14,33.66,24.47,32.96
