CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,24.48,19.29,17.88,50.00,15.39,15.91,0.00,22.07,13.73,16.67,12.84,13.71,0.00,15.61,13.61,36.00,34.68,36.91,5.88,25.86,19.43,30.11
Congressional District 2,12.50,18.92,15.24,50.00,13.55,15.70,0.00,11.76,16.30,28.57,13.67,10.92,0.00,12.70,9.22,13.33,35.19,37.62,10.26,26.61,19.84,28.69
TOTAL,23.96,23.63,20.51,18.70,21.33,20.69,20.00,18.13,19.47,22.58,20.97,18.28,13.75,15.40,14.58,32.03,39.34,40.38,18.01,28.52,21.13,32.96
Congressional District 4,25.38,21.79,16.39,30.00,21.33,19.56,0.00,13.98,14.67,21.43,19.74,17.90,28.57,15.13,14.01,43.33,44.21,43.79,27.40,32.18,23.31,31.43
Congressional District 5,19.83,24.22,19.33,0.00,21.70,19.77,0.00,13.64,16.67,9.09,23.28,22.38,11.11,17.71,16.05,43.08,38.69,37.29,16.04,28.71,19.83,28.06
Congressional District 6,24.46,24.37,22.38,13.33,24.80,24.96,0.00,23.12,19.61,35.29,27.75,24.48,23.33,17.69,18.05,25.00,43.49,42.36,14.29,26.63,20.88,36.56
Congressional District 7,31.28,23.68,21.22,16.67,21.66,21.76,33.33,13.73,18.44,20.75,22.02,18.58,7.81,11.55,11.93,31.34,41.21,41.29,24.63,27.35,21.14,32.39
Congressional District 8,12.05,20.06,17.75,100.0,16.88,17.83,0.00,18.25,17.39,25.00,15.89,14.42,0.00,15.71,14.16,20.34,36.75,39.32,3.12,24.94,18.72,32.02
Congressional District 9,29.47,28.43,27.10,0.00,24.10,20.82,0.00,22.31,29.57,35.29,18.93,13.64,0.00,14.35,11.92,37.74,40.99,42.83,12.50,25.04,18.71,38.86
Congressional District 10,32.64,28.20,25.03,25.00,24.69,23.90,0.00,29.29,24.44,26.67,24.38,20.65,33.33,18.07,15.12,39.20,42.03,42.80,17.65,30.20,22.25,36.91
Congressional District 11,26.51,24.89,22.55,9.09,26.02,24.95,0.00,23.53,26.52,14.29,24.74,22.57,14.29,19.78,18.38,32.41,41.71,41.69,18.84,26.83,20.77,36.48
Congressional District 12,17.78,19.65,17.02,25.00,17.08,14.69,0.00,19.26,26.17,20.00,17.65,15.67,0.00,17.13,17.47,32.05,36.69,38.27,16.87,25.57,20.21,30.85
Congressional District 13,14.47,22.64,16.67,12.50,21.01,19.73,0.00,16.31,14.71,25.00,21.10,18.13,20.00,13.94,12.31,17.95,39.68,40.17,17.70,31.58,23.54,30.40
Congressional District 14,25.00,22.88,20.76,0.00,17.40,17.33,0.00,19.54,14.67,33.33,17.92,13.91,0.00,14.66,13.96,25.81,34.72,37.62,16.67,25.18,18.89,33.11
