COUNTY NAME,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
APPLING,14.55,15.21,19.66,27.53,32.95,33.79,37.63,45.04,48.82,49.61,34.95
ATKINSON,14.82,10.72,15.84,19.20,22.09,28.09,30.54,32.92,41.89,39.53,27.52
BACON,12.52,13.36,19.47,26.99,31.35,31.20,30.33,37.25,41.50,45.11,31.34
BAKER,17.16,15.72,21.32,27.45,28.47,38.41,40.18,47.14,50.24,49.91,37.60
BALDWIN,18.51,13.82,20.30,24.06,29.08,32.04,38.56,44.83,51.87,52.38,34.84
BANKS,21.85,20.80,26.24,32.74,41.95,40.28,43.97,48.51,54.17,55.05,41.39
BARROW,15.30,17.48,21.99,26.87,30.58,31.69,34.72,40.57,46.89,50.74,32.54
BARTOW,18.21,17.02,23.62,27.88,32.70,36.72,40.33,44.81,49.47,50.38,35.47
BEN HILL,12.08,11.58,19.25,20.67,26.58,34.15,33.68,36.71,43.51,44.55,30.73
BERRIEN,13.14,16.59,20.52,23.60,30.41,30.63,34.63,39.64,45.17,45.32,32.19
BIBB,14.22,14.31,18.97,23.64,28.93,32.99,37.39,42.22,48.02,49.38,32.76
BLECKLEY,19.59,15.37,26.03,30.37,34.33,36.20,44.48,47.77,52.73,52.24,38.71
BRANTLEY,9.64,11.25,19.40,21.01,26.23,28.28,28.66,34.37,36.54,39.19,27.46
BROOKS,9.99,11.91,18.86,22.00,27.43,25.93,31.27,36.14,38.65,41.28,29.01
BRYAN,15.90,12.93,17.76,21.55,25.43,28.71,35.39,38.80,45.41,47.80,29.56
BULLOCH,17.01,10.80,18.32,24.19,28.00,31.83,36.84,38.01,44.10,46.51,28.52
BURKE,11.80,12.89,19.20,23.30,29.07,32.23,32.93,38.64,43.24,46.92,31.06
BUTTS,13.97,12.60,21.50,26.91,30.12,36.13,42.03,43.93,53.21,54.36,36.21
CALHOUN,16.58,19.20,24.19,24.35,31.74,33.20,36.82,36.59,44.05,45.17,34.14
CAMDEN,10.36,9.13,11.58,15.33,19.07,24.98,30.53,35.98,39.83,43.86,25.53
CANDLER,20.63,20.51,29.72,33.61,41.96,45.02,47.51,52.59,58.45,60.68,44.54
CARROLL,17.32,15.38,22.27,27.72,31.75,34.68,40.23,44.83,50.41,52.67,34.73
CATOOSA,15.20,15.07,20.83,26.03,28.21,32.08,36.48,38.78,43.32,43.65,31.62
CHARLTON,13.35,13.05,13.99,14.84,20.27,24.73,29.38,34.29,38.76,43.84,27.50
CHATHAM,14.05,14.66,18.02,22.43,28.28,31.97,36.86,41.87,48.51,54.08,32.37
CHATTAHOOCHEE,7.05,3.42,3.95,5.29,10.45,13.83,29.02,25.21,37.30,36.06,13.75
CHATTOOGA,13.88,9.97,18.83,23.86,26.54,29.06,35.33,41.47,46.13,43.06,31.29
CHEROKEE,21.81,19.67,26.18,30.58,34.31,38.36,43.99,46.66,51.60,55.19,38.60
CLARKE,30.71,19.35,21.93,26.14,29.83,32.71,35.36,40.17,47.30,51.32,32.46
CLAY,8.46,12.00,24.64,23.88,33.33,37.50,33.09,44.83,49.18,51.62,37.21
CLAYTON,9.12,9.55,13.01,17.89,22.44,26.51,30.30,35.75,40.93,43.63,24.38
CLINCH,7.20,10.28,17.71,25.83,22.19,27.61,26.77,27.37,29.27,38.33,25.14
COBB,19.91,18.86,23.49,27.96,32.70,37.25,42.13,46.70,51.53,55.76,36.53
COFFEE,12.26,10.44,17.76,21.83,22.18,26.11,29.42,32.88,39.75,39.10,26.37
COLQUITT,13.43,13.10,19.95,24.54,28.03,32.41,36.42,41.21,48.14,47.10,32.74
COLUMBIA,19.44,17.18,22.21,26.46,30.75,34.80,41.12,44.79,51.21,52.76,35.41
COOK,14.82,16.93,24.97,24.79,29.80,33.21,36.82,37.95,41.85,46.77,32.78
COWETA,17.48,17.45,22.76,27.79,31.20,36.68,40.27,43.33,47.80,54.92,35.89
