CONGRESSIONAL DISTRICT,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
District 1,14.73,23.18,13.23,17.79,15.63,35.71,18.61,30.11
District 2,11.15,23.84,12.45,13.92,14.49,36.32,17.03,28.69
District 3,14.97,26.17,20.64,15.70,21.06,40.57,25.27,35.55
District 4,14.59,28.46,18.95,14.29,20.60,44.01,19.16,31.43
District 5,16.89,24.87,22.83,15.04,20.81,38.00,21.75,28.06
District 6,17.87,24.20,26.30,21.41,24.86,42.94,23.40,36.56
District 7,11.73,24.77,20.48,16.07,21.68,41.24,22.54,32.39
District 8,15.02,22.38,15.25,17.89,17.35,37.94,18.85,32.02
District 9,13.24,22.35,16.35,25.85,22.48,41.86,27.76,38.86
District 10,16.73,26.88,22.67,26.98,24.32,42.39,26.63,36.91
District 11,19.13,24.32,23.75,24.94,25.49,41.70,23.72,36.48
District 12,17.24,23.35,16.77,22.31,16.09,37.42,18.34,30.85
District 13,13.20,28.26,19.79,15.57,20.47,39.90,19.78,30.40
District 14,14.33,22.53,15.95,17.28,17.37,36.07,21.82,33.11
TOTAL,15.01,25.43,19.74,18.76,21.04,39.83,22.09,32.96
