COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,14.29,21.39,15.13,0.00,10.64,39.61,17.65,34.95
ATKINSON,50.00,19.38,7.180,33.33,16.67,31.37,16.95,27.52
BACON,12.50,8.340,18.00,33.33,0.00,36.58,20.30,31.34
BAKER,0.00,31.51,16.67,0.00,25.00,43.84,32.00,37.60
BALDWIN,21.51,29.08,22.30,13.33,16.52,40.29,21.78,34.84
BANKS,5.480,19.58,10.40,14.29,36.67,43.35,25.48,41.39
BARROW,9.590,22.69,17.87,15.79,18.77,36.41,21.06,32.54
BARTOW,11.41,22.84,16.75,13.95,20.69,39.37,22.21,35.47
BEN HILL,8.570,24.40,7.020,0.00,25.00,35.52,18.32,30.73
BERRIEN,3.850,21.29,10.42,11.11,11.90,34.65,16.80,32.19
BIBB,13.38,26.42,18.48,11.11,18.21,42.41,18.16,32.76
BLECKLEY,15.62,24.31,20.69,0.00,35.00,43.32,20.99,38.71
BRANTLEY,44.44,20.58,5.260,16.67,0.00,28.53,10.93,27.46
BROOKS,22.73,19.08,18.75,25.00,18.97,36.54,21.90,29.01
BRYAN,11.69,21.02,15.78,22.22,16.14,32.96,21.26,29.56
BULLOCH,16.52,15.20,18.60,20.00,18.35,35.32,19.22,28.52
BURKE,21.62,24.85,21.33,22.22,16.36,39.05,14.73,31.06
BUTTS,25.81,26.80,29.79,28.57,13.48,40.76,27.08,36.21
CALHOUN,6.670,29.79,20.00,0.00,100.0,41.42,22.58,34.14
CAMDEN,14.64,18.34,11.48,10.71,12.53,30.05,18.49,25.53
CANDLER,38.89,28.12,19.05,0.00,4.760,53.06,22.05,44.54
CARROLL,12.50,20.66,19.19,16.67,21.35,40.06,23.52,34.73
CATOOSA,13.25,18.09,16.49,22.22,13.74,33.22,23.12,31.62
CHARLTON,28.57,17.67,0.00,0.00,24.00,31.73,21.15,27.50
CHATHAM,15.37,26.83,15.04,15.75,17.63,39.04,19.74,32.37
CHATTAHOOCHEE,0.00,14.79,0.500,0.00,4.170,15.70,9.250,13.75
CHATTOOGA,14.29,22.70,9.410,0.00,6.120,33.56,17.30,31.29
CHEROKEE,20.80,24.05,23.75,33.33,28.88,41.29,29.20,38.60
CLARKE,23.41,23.40,24.15,50.00,26.29,38.62,25.05,32.46
CLAY,0.00,29.39,25.00,0.00,0.00,49.03,11.54,37.21
CLAYTON,6.470,24.41,15.36,12.82,15.99,36.01,14.92,24.38
CLINCH,22.22,14.45,23.08,0.00,22.22,30.68,14.55,25.14
COBB,19.20,26.91,25.17,22.10,26.67,44.17,19.08,36.53
COFFEE,10.68,16.56,9.800,20.00,11.50,31.48,13.55,26.37
COLQUITT,8.140,17.24,9.840,0.00,20.00,40.25,18.15,32.74
COLUMBIA,19.11,29.04,23.35,33.33,19.53,39.60,22.46,35.41
COOK,5.260,23.87,12.62,0.00,6.980,37.72,19.06,32.78
COWETA,14.81,25.69,21.12,10.53,24.20,39.99,26.23,35.89
CRAWFORD,28.57,27.51,19.44,33.33,25.00,34.64,14.18,32.20
CRISP,14.08,13.97,4.620,33.33,20.51,37.83,17.43,27.03
DADE,20.59,7.020,12.96,20.00,10.71,32.17,23.45,31.15
DAWSON,13.79,15.62,22.30,25.00,40.38,42.78,25.74,41.39
DECATUR,13.46,21.48,13.10,0.00,23.29,35.87,17.67,29.47
DEKALB,18.35,28.12,25.11,18.33,22.17,45.22,21.30,32.86
DODGE,11.54,19.12,4.350,16.67,8.330,36.99,17.00,31.62
DOOLY,7.690,25.04,6.490,100.0,31.82,38.31,22.63,30.91
DOUGHERTY,8.850,25.45,14.41,9.520,14.92,38.25,16.71,28.89
DOUGLAS,17.08,27.81,19.33,28.57,21.59,39.46,20.66,32.21
EARLY,0.00,17.91,9.520,0.00,11.76,38.97,20.79,28.22
ECHOLS,0.00,20.41,14.94,0.00,6.250,31.74,18.09,29.33
EFFINGHAM,15.95,20.33,19.19,26.92,17.57,34.69,18.40,31.28
