CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,143.0,17234.0,17128.0,2.000,2358.0,1697.0,0.00,145.0,153.0,6.000,4307.0,3420.0,3.000,2075.0,1609.0,50.00,143408.0,123102.0,34.00,71380.0,50741.0,438995.0
Congressional District 2,56.00,7306.0,7568.0,2.000,1565.0,1159.0,0.00,102.0,92.00,7.000,2568.0,2106.0,1.000,1449.0,1150.0,15.00,94651.0,82105.0,39.00,123553.0,85332.0,410826.0
Congressional District 3,96.00,18426.0,18081.0,13.00,2219.0,1842.0,0.00,94.00,78.00,9.000,3852.0,3178.0,5.000,2220.0,1716.0,99.00,166401.0,146264.0,41.00,58531.0,42232.0,465397.0
Congressional District 4,130.0,20418.0,19714.0,10.00,4331.0,3149.0,0.00,236.0,184.0,14.00,4889.0,3748.0,7.000,4581.0,4376.0,30.00,70501.0,60358.0,73.00,157860.0,113822.0,468431.0
Congressional District 5,242.0,31623.0,32124.0,4.000,3950.0,3313.0,0.00,132.0,114.0,11.00,3956.0,3659.0,18.00,4049.0,3850.0,65.00,74840.0,74152.0,106.0,158682.0,120946.0,515836.0
Congressional District 6,184.0,27647.0,26596.0,15.00,4903.0,4247.0,1.000,173.0,153.0,17.00,6966.0,5657.0,30.00,10480.0,9862.0,152.0,170158.0,154218.0,21.00,34238.0,25029.0,480747.0
Congressional District 7,422.0,27361.0,26580.0,36.00,5130.0,4242.0,3.000,306.0,282.0,53.00,13050.0,10500.0,64.00,13339.0,13311.0,217.0,125752.0,113047.0,134.0,48757.0,34742.0,437328.0
Congressional District 8,83.00,9298.0,9656.0,2.000,1517.0,1178.0,0.00,126.0,92.00,4.000,2907.0,2309.0,0.00,1865.0,1483.0,59.00,140969.0,122798.0,32.00,68915.0,47939.0,411232.0
Congressional District 9,95.00,14120.0,14664.0,1.000,1033.0,999.0,0.00,121.0,115.0,17.00,5087.0,4969.0,2.000,1449.0,1208.0,106.0,186373.0,165942.0,8.000,14085.0,10404.0,420798.0
Congressional District 10,144.0,18556.0,18753.0,4.000,1932.0,1703.0,0.00,99.00,90.00,15.00,3675.0,3124.0,3.000,2407.0,2024.0,125.0,157127.0,141160.0,51.00,59107.0,42143.0,452242.0
Congressional District 11,166.0,19589.0,19899.0,22.00,3474.0,2770.0,0.00,204.0,181.0,14.00,7497.0,6212.0,7.000,3811.0,3232.0,108.0,179059.0,160704.0,69.00,43329.0,30462.0,480809.0
Congressional District 12,135.0,14925.0,14825.0,4.000,2014.0,1450.0,0.00,135.0,107.0,5.000,3104.0,2533.0,9.000,2136.0,1700.0,78.00,128800.0,112596.0,83.00,80358.0,56682.0,421679.0
Congressional District 13,159.0,21206.0,19213.0,8.000,4093.0,2919.0,1.000,141.0,102.0,8.000,6284.0,4959.0,10.00,3077.0,2633.0,39.00,72209.0,62570.0,113.0,153042.0,107689.0,460475.0
Congressional District 14,40.00,15210.0,15435.0,0.00,1138.0,1004.0,0.00,87.00,75.00,6.000,5312.0,5182.0,1.000,1044.0,874.0,62.00,168227.0,146261.0,12.00,18051.0,13121.0,391142.0
TOTAL,2095.0,262919.0,260236.0,123.0,39657.0,31672.0,5.000,2101.0,1818.0,186.0,73454.0,61556.0,160.0,53982.0,49028.0,1205.0,1878475.0,1665277.0,816.0,1089888.0,781284.0,6255937.0
