COUNTY NAME,MALE,FEMALE,UNKNOWN,TOTAL
APPLING,35.52,34.48,0.00,34.95
ATKINSON,28.47,26.77,0.00,27.52
BACON,33.07,29.91,0.00,31.34
BAKER,37.62,37.58,0.00,37.60
BALDWIN,34.33,35.22,50.00,34.84
BANKS,42.63,40.22,0.00,41.39
BARROW,32.19,32.84,31.48,32.54
BARTOW,35.86,35.12,26.32,35.47
BEN HILL,30.37,31.02,0.00,30.73
BERRIEN,33.93,30.68,0.00,32.19
BIBB,31.00,34.10,20.69,32.76
BLECKLEY,39.96,37.69,0.00,38.71
BRANTLEY,28.98,26.10,0.00,27.46
BROOKS,27.95,29.89,0.00,29.01
BRYAN,29.95,29.22,23.08,29.56
BULLOCH,28.24,28.75,45.45,28.52
BURKE,30.08,31.87,100.0,31.06
BUTTS,35.82,36.58,20.00,36.21
CALHOUN,32.21,35.66,0.00,34.14
CAMDEN,26.75,24.51,50.00,25.53
CANDLER,45.87,43.43,33.33,44.54
CARROLL,35.01,34.50,17.50,34.73
CATOOSA,32.88,30.57,24.00,31.62
CHARLTON,28.24,26.86,0.00,27.50
CHATHAM,30.79,33.67,27.48,32.37
CHATTAHOOCHEE,12.73,14.69,0.00,13.75
CHATTOOGA,34.04,28.95,0.00,31.29
CHEROKEE,38.40,38.77,58.97,38.60
CLARKE,31.40,33.34,29.91,32.46
CLAY,37.23,37.20,0.00,37.21
CLAYTON,20.43,27.36,11.97,24.38
CLINCH,26.85,23.76,0.00,25.14
COBB,35.47,37.47,21.04,36.53
COFFEE,26.49,26.28,0.00,26.37
COLQUITT,33.22,32.36,23.08,32.74
COLUMBIA,35.20,35.61,23.33,35.41
COOK,32.89,32.69,0.00,32.78
COWETA,35.72,36.05,22.22,35.89
CRAWFORD,31.63,32.73,0.00,32.20
CRISP,28.78,25.72,0.00,27.03
DADE,32.05,30.33,50.00,31.15
DAWSON,41.42,41.36,50.00,41.39
DECATUR,29.48,29.48,10.00,29.47
DEKALB,29.78,35.32,41.54,32.86
DODGE,33.38,30.15,0.00,31.62
DOOLY,30.03,31.61,0.00,30.91
DOUGHERTY,26.48,30.69,6.67,28.89
DOUGLAS,30.82,33.34,18.52,32.21
EARLY,27.71,28.62,0.00,28.22
ECHOLS,30.59,28.16,100.0,29.33
EFFINGHAM,31.20,31.36,31.58,31.28
ELBERT,35.53,34.36,0.00,34.89
EMANUEL,33.05,31.50,0.00,32.17
EVANS,32.54,31.03,100.0,31.70
FANNIN,40.45,37.41,0.00,38.85
FAYETTE,40.56,42.77,28.77,41.73
FLOYD,35.15,32.94,36.36,33.95
FORSYTH,38.03,37.95,41.33,37.99
FRANKLIN,41.21,38.76,0.00,39.91
FULTON,27.53,31.25,21.38,29.52
GILMER,40.37,38.88,60.00,39.61
GLASCOCK,43.46,39.32,0.00,41.26
GLYNN,31.29,30.17,21.95,30.66
GORDON,35.37,32.86,0.00,34.04
GRADY,30.21,29.12,50.00,29.61
GREENE,41.59,42.45,0.00,42.04
GWINNETT,30.80,32.80,26.85,31.87
HABERSHAM,39.10,39.33,46.15,39.22
HALL,37.57,37.76,33.01,37.67
HANCOCK,26.09,31.64,0.00,29.08
HARALSON,39.99,37.58,28.57,38.70
HARRIS,37.57,38.19,60.00,37.90
HART,37.22,34.21,20.00,35.59
HEARD,36.06,34.23,100.0,35.10
HENRY,32.25,35.27,16.28,33.91
HOUSTON,29.85,29.02,20.00,29.39
IRWIN,38.47,35.33,0.00,36.76
JACKSON,40.13,40.28,36.84,40.20
JASPER,36.66,38.55,50.00,37.65
JEFF DAVIS,36.24,34.84,0.00,35.48
JEFFERSON,31.79,36.65,0.00,34.50
JENKINS,27.42,28.16,0.00,27.82
JOHNSON,32.94,33.79,0.00,33.40
JONES,38.08,38.90,66.67,38.53
LAMAR,36.16,37.30,100.0,36.78
LANIER,25.48,24.10,25.00,24.73
LAURENS,37.42,36.53,14.29,36.92
LEE,35.63,34.53,0.00,35.03
LIBERTY,20.38,19.50,0.00,19.88
LINCOLN,38.30,41.69,0.00,40.07
LONG,22.38,19.14,20.00,20.60
LOWNDES,28.19,28.39,6.06,28.29
LUMPKIN,41.13,39.47,25.00,40.26
MCDUFFIE,32.08,33.58,0.00,32.91
MCINTOSH,32.74,35.17,0.00,34.02
MACON,25.73,28.05,0.00,27.01
MADISON,41.11,38.96,28.57,39.96
MARION,29.50,30.64,0.00,30.11
MERIWETHER,31.79,34.51,0.00,33.26
MILLER,28.18,28.29,0.00,28.24
MITCHELL,28.99,30.99,50.00,30.12
MONROE,40.24,40.06,25.00,40.14
MONTGOMERY,36.16,34.59,0.00,35.31
MORGAN,42.37,44.46,33.33,43.48
MURRAY,33.54,30.44,50.00,31.93
MUSCOGEE,24.95,26.43,15.91,25.79
NEWTON,31.28,34.40,50.00,33.00
OCONEE,43.64,44.63,33.33,44.14
OGLETHORPE,42.35,42.49,100.0,42.43
PAULDING,32.62,33.77,23.68,33.23
PEACH,28.42,30.14,14.29,29.33
PICKENS,41.50,38.45,0.00,39.88
PIERCE,36.42,32.50,100.0,34.30
PIKE,42.76,43.14,100.0,42.96
POLK,35.98,33.02,40.00,34.40
PULASKI,26.44,24.54,0.00,25.41
PUTNAM,38.57,38.67,0.00,38.60
QUITMAN,35.16,32.63,0.00,33.75
RABUN,41.10,40.95,0.00,40.99
RANDOLPH,30.76,34.41,0.00,32.83
RICHMOND,25.94,28.54,16.18,27.40
ROCKDALE,31.14,35.07,35.71,33.31
SCHLEY,37.44,34.61,100.0,35.92
SCREVEN,28.74,30.63,50.00,29.77
SEMINOLE,33.28,33.50,0.00,33.40
SPALDING,33.51,34.98,45.45,34.32
STEPHENS,32.42,30.69,0.00,31.47
STEWART,26.14,32.88,0.00,29.77
SUMTER,30.53,30.66,0.00,30.60
